,Web TÜFE
2024-12-31,100.0
2025-01-01,100.9148251881441
2025-01-02,100.98146402107312
2025-01-03,101.00311634876772
2025-01-04,100.9972558893137
2025-01-05,100.9830578196623
2025-01-06,101.76717064677663
2025-01-07,101.91236010938708
2025-01-08,101.9638712687218
2025-01-09,102.48845856690504
2025-01-10,102.53837165187512
2025-01-11,102.5927099395489
2025-01-12,102.61332472687698
2025-01-13,102.6919429741132
2025-01-14,102.76106649240812
2025-01-15,102.88094675136315
2025-01-16,102.9602914008898
2025-01-17,103.0081968737036
2025-01-18,103.10563929862622
2025-01-19,103.13512478857356
2025-01-20,103.30334623432654
2025-01-21,103.35447329985338
2025-01-22,103.48711294722472
2025-01-23,103.54298774712193
2025-01-24,103.44758315143145
2025-01-25,103.43226429863827
2025-01-26,103.6012869553545
2025-01-27,103.67824112332546
2025-01-28,103.86208143387708
2025-01-29,103.96514582079917
2025-01-30,103.98093468240154
2025-01-31,103.870040951531
2025-02-01,104.35430993014104
2025-02-02,104.11110466613108
2025-02-03,104.19672561124511
2025-02-04,104.41532644341258
2025-02-05,104.69947857871234
2025-02-06,104.99818321633586
2025-02-07,105.01731204870931
2025-02-08,105.11086080196948
2025-02-09,105.14054882841964
2025-02-10,105.25492990066144
2025-02-11,105.5229155382928
2025-02-12,105.8067286175436
2025-02-13,105.98256150292832
2025-02-14,105.96694555319202
2025-02-15,106.07634692804888
2025-02-16,106.0822580335402
2025-02-17,106.11874654099606
2025-02-18,106.4727204689135
2025-02-19,106.82895163747632
2025-02-20,107.08542747500576
2025-02-21,107.3544272119708
2025-02-22,107.4414260836592
2025-02-23,107.58153383000204
2025-02-24,107.6452463273977
2025-02-25,108.04780962370064
2025-02-26,108.15352435671274
2025-02-27,108.14676372336169
2025-02-28,108.1509636325352
2025-03-01,108.61787325338275
2025-03-02,108.6283077319482
2025-03-03,108.60863420055937
2025-03-04,108.9293646686022
2025-03-05,109.26428487262156
2025-03-06,109.3182980569714
2025-03-07,109.28523599415522
2025-03-08,109.30768347097909
2025-03-09,109.3149794704424
2025-03-10,109.32087409370943
2025-03-11,109.54539080192568
2025-03-12,109.60640812468873
2025-03-13,109.57143992401534
2025-03-14,109.52351891159424
2025-03-15,109.45581432279246
2025-03-16,109.50369032464292
2025-03-17,109.61412362368358
2025-03-18,109.841031015575
2025-03-19,109.98968608690092
2025-03-20,110.06232364130447
2025-03-21,110.00778332244715
2025-03-22,109.84367125180124
2025-03-23,109.81527503294404
2025-03-24,109.88642054747244
2025-03-25,110.122080177323
2025-03-26,110.32895572355253
2025-03-27,110.34337490073136
2025-03-28,110.40488194985464
2025-03-29,110.59734791092188
2025-03-30,110.59734791092188
2025-03-31,110.59734791092188
2025-04-01,110.87015371952772
2025-04-02,110.94348615799684
2025-04-03,111.3839573134519
2025-04-04,111.31928471316012
2025-04-05,111.8352054536416
2025-04-06,111.81215709164404
2025-04-07,111.86061439432191
2025-04-08,111.9528692170543
2025-04-09,112.01177658614094
2025-04-10,111.99457579372296
2025-04-11,112.01228044075307
2025-04-12,112.28576265794938
2025-04-13,112.27228546513308
2025-04-14,112.28670778145768
2025-04-15,112.59522733832208
2025-04-16,112.4604422524891
2025-04-17,112.47312778885558
2025-04-18,112.40474389957262
2025-04-19,112.13671753011026
2025-04-20,112.03838670071464
2025-04-21,112.0942680652456
2025-04-22,112.42796834790532
2025-04-23,112.36747297497148
2025-04-24,112.4149116847641
2025-04-25,112.6084089167712
2025-04-26,112.63157177829588
2025-04-27,112.63040962905366
2025-04-28,112.67261640175876
2025-04-29,112.67544737957488
2025-04-30,112.79184630714852
2025-05-01,112.732826777448
2025-05-02,112.78701213706522
2025-05-03,113.05890360830824
2025-05-04,113.30240114838548
2025-05-05,113.37560142101786
2025-05-06,113.54441669759277
2025-05-07,113.36150026304824
2025-05-08,113.46288156622975
2025-05-09,113.34631883889212
