,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler
2025-01-10,102.5916156979662,101.76081873671365,102.0040914769976,102.38126787441904,102.610557214114,101.4805601502266,101.946545060408,106.19788170561972,102.34676204399514,106.68204709635806,104.0394435825662,102.09144110554936,100.85431318171096,100.81439117283512,100.8741400840782,100.24952023544064,100.13988541580068,100.01410973486688,100.1667214351161,100.21805711403633,101.00498446876485,104.32989226067592,101.3183830266764,101.26539868968192,111.241923388992,100.0,115.96043848018992
2025-01-11,102.67308780436338,101.8570429398755,102.10384592713876,102.4669520873507,102.6674351771004,101.54207498047788,101.97435230042775,106.21873051134578,102.33344414817223,106.1238229250857,103.91680662380504,102.28989846324552,100.93738264960083,100.81439117283512,100.99846524715794,100.31225645632728,100.21166950932644,100.01228624703458,100.31724587655704,100.20306144873456,101.0053742180748,104.46454278732412,101.48015271537012,101.35686109996271,112.11276013118206,99.99999999999994,116.06197717944632
2025-01-12,102.69786763446426,101.90915307106772,102.15504853073897,102.51608917934794,102.68903399187283,101.56541239498692,101.9722031464488,106.24957933147276,102.29264245216694,105.80852619202176,103.76679227509769,102.26172248054854,100.99287449467704,100.826027615542,101.075737478681,100.33011064387736,100.23215656695632,100.01027166165106,100.33644348436948,100.25033860342788,101.00508600175311,104.55406639114833,101.64108203609037,101.35651071604104,112.11276013118206,100.0,116.27061720755248
2025-01-13,102.77899921033205,101.98596187455968,102.1998795522472,102.58627051615198,102.7712849558189,101.64741349810134,102.04592509890226,106.27899265122282,102.4705695859934,105.84371723708512,103.92425879733575,102.5093247084162,101.1888418893505,100.826027615542,101.36903029636689,100.33542013880728,100.2380260163502,100.0088970331644,100.34237270684712,100.26383429880954,101.006537000166,104.6475062316292,101.80158445022956,101.357035741997,112.11276013118206,100.0,116.49882123268706
2025-01-14,102.800139740127,102.12573403276714,102.34999211298263,102.71215424216548,102.84365511497109,101.72566626748942,102.11436218729514,106.31944345585016,102.40202175864697,104.94155393344172,103.66314286281664,102.72075861212356,101.29008267605424,101.00125875118783,101.43352444967464,100.521762911748,100.45138846547458,100.03380909051636,100.7076454589619,100.3594746720815,101.00669440772845,104.7187076445874,101.95643253591795,101.357035741997,112.11276013118206,100.0,116.62078804606205
2025-01-15,102.92745680335344,102.346658586552,102.55323590435252,102.90507596146074,102.96916108943562,101.86137929960358,102.13939880088049,106.34010930608208,102.41639356079868,104.34416723394666,103.36852708658826,102.64933125800012,101.57689093438812,101.02658494937364,101.85019539336233,100.55668997237318,100.4913294956484,100.054217758372,100.76233491631136,100.38930955204609,101.00707154458452,105.12568947644144,102.10689430676818,101.42594935706316,112.11276013118206,100.0,118.3794035453394
2025-01-16,103.01755382561888,102.46979293014437,102.63606543988074,103.07308515672,103.05213327412746,101.91994223259444,102.23003188215615,106.78416043473464,102.3522138292376,103.307598185072,102.92156523520514,102.63699998028665,101.85021280972316,101.61147361370982,101.96878045859332,100.6556699016008,100.60434167155611,100.24517305774567,100.80958131209869,100.5571836473366,101.00935901319777,105.17086286970662,102.24742056261049,101.4566539105795,112.11276013118206,100.0,118.33162390928304
2025-01-17,103.07561545002378,102.59792880394932,102.69935841723223,103.18130035524352,103.10192530996648,101.92479077029935,102.24586206126024,106.76983613697178,102.4014500562586,102.56695221782236,102.60727553539569,102.63699998028665,102.2199723268882,102.49312887586495,102.08431161291034,100.65474241330088,100.60214319675347,100.1094237900046,100.82096781792131,100.66933667307512,101.01718955311355,105.31586359059264,102.38794681845268,101.7223242947723,112.11276013118206,100.0,118.37198992473904
2025-01-18,103.17916613930412,102.73686609057027,102.8152230107168,103.3191031794434,103.20354997013666,102.00179028353858,102.31001040707152,106.90066046010756,102.46295306427716,102.27513665058814,102.48344494550356,102.63699998028665,102.44488523277715,102.76781189437442,102.2845066453376,100.69936359807971,100.65199155353736,100.03680984013072,100.86644624052484,100.85941997979944,101.02579169299256,105.51409065368296,102.528473074295,101.6462575168013,115.24827902605452,100.0,118.70229237075662
2025-01-19,103.20957889801336,102.78155257375144,102.86454713099675,103.35473552492915,103.2342551435935,102.03516996822562,102.33279866459957,106.88059743097224,102.4775171224562,102.27513665058814,102.48344494550356,102.63699998028665,102.472290520428,102.76781189437442,102.32552251967726,100.74258590138024,100.70096733693022,100.06832836999828,100.88755063274776,100.98567499903632,101.02936830306136,105.56384936229614,102.66899933013724,101.5458256960736,115.24827902605452,100.00000000000009,118.92082217650588
2025-01-20,103.3840570912828,102.97877948800956,103.06325610390664,103.56415224489508,103.40959469268634,102.2256086832297,102.4476720972938,107.16499818788331,102.56204736943226,102.27513665058812,102.44642222341226,102.57268585637765,102.6639948496269,102.7861917487451,102.6033068718268,100.826573139455,100.79467352127868,100.17624109768256,100.93983922405585,101.1512570576792,101.04638488054248,105.89356078874816,102.80952558597944,102.21399050685746,115.24827902605452,100.00000000000009,119.18390144054004
2025-01-21,103.43887000184786,103.09167468443992,103.18891394794956,103.6614436056462,103.46129635510556,102.28348818020623,102.45873414757148,107.16630454123646,102.48787282693772,101.83804647211892,102.2140177927384,102.49116608987474,102.72933267919495,102.7925965283558,102.69791326429056,100.90851580174848,100.88285954794594,100.3762045571148,100.90757307435544,101.37307410340708,101.08530618798244,106.06596881992542,102.9500518418216,102.24590547611892,115.24827902605452,100.00000000000009,119.79961022507814
2025-01-22,103.58049576708524,103.23108179272776,103.34788756362146,103.78174263482484,103.59895481743898,102.43364575310618,102.5151345409474,107.16906265596384,102.6384034710682,102.0665352362763,102.45985685095978,102.74979496527348,102.79582924430063,102.85661155758154,102.76564226160586,100.90753544413018,100.8779596006227,100.29211277662176,100.89433114573347,101.47045622869572,101.11133467519196,106.42939261370334,103.09057809766394,103.02183031830438,115.24827902605452,100.00000000000009,120.03995912079188
2025-01-23,103.6297030734553,103.28491969667492,103.40103285846962,103.82806234981436,103.65675312820817,102.49690002515165,102.5565118487739,107.16913518932776,102.72898639655368,102.3713121490427,102.58918752804146,102.74979496527348,102.85224801281495,102.86258073404738,102.84711636085568,100.92322015381995,100.89374149879406,100.25979762165464,100.90010380925442,101.55875086898004,101.12634968503782,106.52915282901604,103.23110435350613,103.02466946039664,115.24827902605452,100.00000000000009,120.32928265681772
2025-01-24,103.60645540526718,103.51073808088266,103.4536130211322,104.02334120089569,103.5550254227798,102.36322646455382,102.41340103915856,107.17655399283107,102.27712069526363,97.99844947313156,100.63657298896403,102.58127302311472,103.72360280190802,103.70181093764488,103.7344255329606,100.97656923496751,100.9491856110228,100.16088370618452,100.9372600107576,101.8178234930664,101.1652624670716,106.5781599016194,103.37163060934816,102.9880751908024,115.24827902605452,100.00000000000009,120.42591869496304
2025-01-25,103.6111633230821,103.6520172273468,103.52019968582516,104.1447967679308,103.53871417013843,102.34007610027902,102.37080117113268,107.17606733634652,102.09018749663056,96.11858927077174,99.76172583176344,102.44727400722128,104.14320803440847,103.82336345488794,104.30205593383543,101.03497369773396,101.01522967691224,100.15706603193551,100.938918745532,102.09399371286118,101.17102446702238,106.6454235176154,103.51215686519022,102.7957690092956,115.24827902605452,100.00000000000009,120.9058070750967
2025-01-26,103.75787262830548,103.7671692865085,103.65835903781483,104.24402762019406,103.7150947575482,102.53142184343044,102.53486910056168,107.17736091258584,102.41374743591729,97.61658010135102,100.41888849577222,102.48461786652618,104.17262817502592,103.82731456790904,104.34412503520818,101.12513528704896,101.11662929976754,100.24525553714346,101.00182602248012,102.29045770407576,101.18374777148874,106.82944464884072,103.65268312103268,103.1875906178282,115.24827902605452,100.00000000000009,120.9172319805603
2025-01-27,103.83467489838814,103.85114331524014,103.7473123642051,104.31699810308238,103.79547030551667,102.61319359066856,102.62414311401956,107.18264448496735,102.50779791491976,97.59013304391874,100.54541096258386,102.7239022405176,104.23804788080996,103.93332877400306,104.38938385187475,101.23785995925503,101.24509228036132,100.43566124826404,101.03294508165382,102.55729609854134,101.1880239679372,106.86910536395698,103.79320937687476,103.18897153309928,115.24827902605452,100.00000000000009,120.89479369348342
2025-01-28,104.02295528391566,104.0727193749236,104.00434921608309,104.50768054540374,103.98735532351256,102.82131397835562,102.82985455235028,107.1832887756426,102.64875121307104,97.5456804078736,100.74479019723536,103.103022811928,104.32748663208942,103.97761377444904,104.50124780254922,101.56153922288505,101.6138650102848,101.17436541211003,101.12822012618484,103.10521853295592,101.2009762102318,106.98673949736292,103.93373563271686,103.32911907899036,115.24827902605452,100.00000000000009,121.02391553165651
2025-01-29,104.0817406326626,104.04175821464108,103.9473704545291,104.48133585484575,104.09513698206976,102.93799023993616,103.01395225621523,107.18534171050024,103.12597423663034,99.01300205140664,101.68842105905593,103.66061356798068,104.39347468219871,103.98080745729489,104.59842210365144,101.5718169815359,101.62521944092478,101.0147420628222,101.06451014815168,103.45735599281802,101.2038349100338,106.8445076110261,104.07426188855922,103.46239374286884,115.24827902605452,100.00000000000009,119.80604998341032
2025-01-30,104.10732933492255,104.08346347882932,103.96567264432264,104.51721440640604,104.10914322596064,102.95586436116648,103.03069312884946,107.18537798159836,103.13717750181516,98.59856867962468,101.56612335476946,103.7536644776411,104.5223866630877,104.00109380622771,104.7812820160202,101.5983759290857,101.64784603309496,101.01015799295304,101.07646450653256,103.53153864051548,101.25749066726328,106.85741463627964,104.21478814440148,103.16542998228506,115.24827902605452,100.00000000000009,120.19491992158652
2025-01-31,104.06062460643842,104.17003027856596,104.04555423307905,104.55232974008356,103.99232770507906,102.83032472194594,102.84944369077208,106.90399617624732,102.69804309669424,96.23753140411765,100.50250443118352,103.64644107463891,104.63386451896189,104.0293293390224,104.93410141404104,101.65448409290356,101.7099346161142,101.1032096694493,101.10446806605697,103.63215549963178,101.2723893611171,106.95949494413097,104.35531440024346,103.41774404342353,115.24827902605452,100.00000000000009,120.03539528475206
2025-02-01,104.55210176727898,104.48393602434707,104.2035483182952,105.105539286813,104.49799148587029,103.09954852227104,103.48147171074308,108.92925256945254,103.27171342557902,96.65222285884862,100.71187228772064,103.70445407382262,105.52874282347194,105.74070467709656,105.42347389799124,101.880930676218,101.96491987093324,101.414818674601,101.26799527895622,104.01883327182244,101.30218358837207,106.99648194597395,104.34465580628344,103.2378759860638,117.38438126203432,100.00000000000009,120.15613310407954
2025-02-02,104.30161311963036,104.11554901218734,103.72898045016028,104.78799368067776,104.2420743850897,103.19383778128744,103.56063745660488,108.92445139575896,103.3462498187816,96.91829771011976,100.84001199187642,103.73091450341218,105.556016811654,105.74070467709656,105.46429326417596,101.99101187997871,102.08708365781392,101.56380637448908,101.2997275814947,104.30242021315752,101.32900694190565,105.7774261267644,104.33399721232333,103.4920381324153,117.38438126203432,100.00000000000009,113.32531187395271
2025-02-03,104.37754681769908,104.19821556245876,103.8286869571199,104.8581483885347,104.33048298533576,103.29076681843829,103.66826186914116,108.9176410988948,103.4511649026204,97.2198672699719,101.04217528320798,103.8598001894206,105.57518748738975,105.78583770390225,105.47056997454324,102.13790971179918,102.25146774137882,101.87391888820495,101.34627020691744,104.55861532161512,101.3554116875768,105.79644028887756,104.42594507050444,103.49125383520094,117.38438126203432,100.00000000000009,113.2774566958267
2025-02-04,104.62010046466294,104.43776176791155,104.05968449214588,105.15856033728994,104.5547327091389,103.42362905070468,103.92964526809112,109.59246091385114,103.47807702793564,95.87199311793562,100.79179690101202,104.4184438443962,105.84658854522225,106.33637748159612,105.60333932767335,102.451455318337,102.59620599766356,102.2204150093478,101.5639716209421,105.16856088304588,101.45401708347892,105.8855338444317,104.75908417915166,103.4217235244916,117.38438126203432,100.00000000000009,113.33300673563974
2025-02-05,104.84328009472452,104.64743145151256,104.26247681525524,105.35978174050688,104.8487268529759,103.74530960261012,104.18303912455534,109.7417137965172,104.01177588261328,97.96290835882908,101.66393263927426,104.39215290696842,106.08188529037662,106.326612074368,105.96034396043176,102.51594341421,102.6591562067406,102.21298750640536,101.61847263070624,105.32458655987692,101.5291023461377,106.2627944868848,105.12726970177778,104.05443808611304,117.38438126203432,100.00000000000009,113.54198013635629
2025-02-06,105.16291732882884,104.99018997985588,104.35508538826572,105.71027193454586,105.15960080789552,103.92756167310984,104.56880333899642,110.13976434714128,104.7192792562322,97.88041599762066,101.72792593187302,104.56412850375112,107.35677589331326,109.56221260045312,106.26146582498669,102.64211722935472,102.79780669732128,102.2842374719454,101.74965271552476,105.55106875597392,101.56930272625787,106.29796073621884,105.22282998591469,103.87841711888908,117.38438126203432,100.00000000000009,113.8965990006488
2025-02-07,105.23038488407776,105.17041362432076,104.53997604264178,105.86659087013425,105.1787024126731,103.9515271154189,104.50062842557396,110.14903651131095,104.41408680518836,96.02481769716698,100.89191593934866,104.47971084773044,107.51960889053652,109.64403750179208,106.46453075575435,102.73711758168172,102.9037337749886,102.39679119385318,101.7652967713149,105.83972002899964,101.58900993532149,106.5813670817592,105.2171758766176,104.56717779266074,117.38438126203432,100.00000000000009,114.1158916816596
2025-02-08,105.3389111696466,105.37995525999088,104.74322079571849,106.0463062210668,105.27583204381624,104.0522318287372,104.55417467722124,110.14527927126902,104.3422732760182,95.1872333183492,100.47438749963278,104.37182780339286,107.7526145569218,109.87327268269108,106.6994089994402,102.9088440451798,103.09784447405303,102.5808830023855,101.79885102203924,106.38211362627244,101.60649261553644,106.79600756539476,105.34053900620242,105.07421882208718,117.38438126203432,100.00000000000009,114.1023927103863
2025-02-09,105.36839082020646,105.41762802869547,104.78875022809208,106.07813711015584,105.30607024423053,104.08584079923956,104.60452517920363,110.14117458210424,104.35625342277864,95.1872333183492,100.4947003753914,104.4071143716054,107.76101109331422,109.87327268269108,106.71197559921276,103.00575337976936,103.20620516961058,102.67700075307492,101.85446556602614,106.61447160546857,101.6244936830025,106.76314813068204,105.34347222026324,104.89736181481943,117.38438126203432,100.00000000000009,114.25251881047588
2025-02-10,105.46870869974148,105.56587856434903,104.9761578678934,106.20728429762237,105.4225435041142,104.21216243877696,104.7219853176415,110.15280995678472,104.37506425859056,95.18723331834916,100.53219219469922,104.47224338903932,107.76335077851128,109.84768964845564,106.72818284888378,103.23591326995287,103.45961682383862,103.34326378003767,101.9333553230762,106.79301268580892,101.69443188307932,106.86820854950022,105.48512413433502,105.06046811329358,117.38438126203432,100.00000000000009,114.27160621456524
