,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
0,Mevsimlik Ürünler Hariç TÜFE,3.343322193534326,3.2131403891742405,2.395786629624075,1.3271497298875223,1.4882479644794167,2.6719965075285845,2.0897424354926253,2.6012358947310465,2.366459673534038,1.0995971617971279,1.3080451221120448,3.8442021050966946
1,TÜFE B,3.7596905952504533,2.61841541965544,2.170181872939314,1.9958442809415944,1.6913515707487337,2.0834292694617895,1.9620451434138486,2.9544234294174077,3.299619922843755,1.0123303945711593,1.1273362323608982,4.292492760844446
2,TÜFE C,3.114436542348953,2.8773451219970436,2.3138880939514994,2.2099483548124743,1.9608922411852303,2.1452884206201173,1.7712131677469545,2.936518160973156,2.97571828233123,0.6658509637520016,1.089136747080155,4.6175374165504435
3,TÜFE D,3.8927374317399677,2.250059573705987,2.460779056136908,2.0096880961799624,1.7522011563326778,2.6401418362203666,1.7908898633195447,2.688606717468267,2.958595962156041,1.1162928879055345,0.9347349382936798,3.76942861830738
4,TÜFE E,3.3998316354479696,3.182848155565776,2.389145132055104,1.4227289329080017,1.3461097191087124,2.2052799949132007,1.7490696531337724,2.6874570840636824,3.0717767500740623,1.038568820978858,1.0673104194372396,4.630078743671106
5,TÜFE F,3.349725690573435,3.8221285438039265,2.0668966649381115,1.331922915979833,1.275708674142062,1.9772286531895888,2.0513474377105156,2.78410254478334,3.21610002701207,1.1517309105441909,1.0512138102458435,4.622700246323874
6,Mallar,3.606117661758823,3.7920848901487725,2.1321756536342162,0.914830362367125,0.5433351467255099,1.9938722325587799,1.6035939248192577,1.791633653188307,3.6194343187477607,0.9319036983164608,1.017595140672456,3.4625512882244136
7,Enerji,4.687495577400114,0.06917912296817708,4.225112474237536,2.092082335450063,2.1140182608571534,5.936703068788285,0.8142617500747518,1.154562896955924,0.9555085075375613,1.7411207778037951,-0.21453168370025866,0.09127299774905895
8,Gıda ve alkolsüz içecekler,3.4246050585066357,5.1170097546233695,1.7894640449029442,-0.3910242126241692,-0.21158412847867014,0.7003576171809467,2.1320928314661147,2.8669950563534385,4.213054655690329,1.4971642380655847,1.5774929392633474,6.5614508525600135
9,Taze meyve ve sebze,-3.429531445473144,16.149148179003546,-1.6407328365023788,-5.549800514802195,-4.9472820404798945,-1.6967990870061844,2.481286698257801,0.6620497119258939,5.8642482892327985,1.7759246791257732,-4.629713385324152,19.208492018064483
