,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30
42,Kadın giyim,4.890022797879934,7.3349742861406275,0.5491921185313053,-0.33966707713662947,0.7242316757130718,0.8193919406610739,-2.986467007664073,-2.6235590370421447
43,Çocuk giyim,4.051997484144065,6.487482729489447,0.946715697861733,1.0391543969849648,-0.5253705418301724,-0.9390750467200837,-4.087989366080369,-3.351137170285723
44,Bebek giyim,2.715466346659756,6.350542758803823,-0.48755272449957365,-1.5487546784015205,-1.2975655705903533,-2.900560442250033,-3.4314553548453253,0.10178502614746066
45,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",4.1041283727665245,3.827332730941402,1.3817464729876994,0.5138838426926862,0.8128225770817732,1.2713176350416466,-1.0344781182049956,1.760911576543256
46,Giyim eşyalarının temizlenmesi ve tadilatı,2.7058428124418388,-4.670403173409355,-6.099112580776045,-0.7558757003553906,-7.865231485051627,-1.0035711336639164,12.680321330123135,9.220241983649391
47,Erkek ayakkabısı,5.756736259317963,8.310107855769044,2.462354564015845,0.20668491334798755,0.11023132285883364,-0.012999249133704982,-4.773003321636027,-1.9077051876528084
48,Kadın ayakkabısı,4.154768190856717,5.953724665530191,2.1005525929105984,-0.2181965041203049,-0.38184943829946416,-0.4258502816124943,-4.051037436667837,-1.5601112500058467
49,Çocuk ve bebek ayakkabısı,3.259981216950991,6.100950030822516,2.5259987180076715,-1.0264650878264447,-0.5791229843129297,-0.12427921443890488,-5.438520881842679,-1.8718279236410784
50,Ayakkabı bakım ve tamiri,12.140511062219716,3.8481018063225347,-2.1601170463195207,0.8515115915666005,-2.189667410626306,-1.1635462559528853,6.914056621129472,-5.6012628289416995
51,Gerçek kira,4.220782643345111,3.6610983570642297,4.30434925297547,3.5997193681023054,4.590043389570964,5.2686019609664125,3.5081328623481456,3.559492597609326
52,Konutun bakım ve onarımı için malzemeler,8.269612079465794,7.7319251796951205,3.29050643921045,5.515020134435233,2.0768743466168527,1.473041878349668,1.149880239393708,0.763266230029358
53,Su (şebeke suyu),6.73514080022819,1.580272900688584,1.2309565096079833,5.287752396669698,4.587716563050037,1.2065902208431956,1.2035861217826849,1.463809909273217
54,Elektrik,10.70000000000002,0.0,20.83333333333335,3.44827586206895,0.0,0.0,0.0,0.0
55,Doğalgaz ve ilgili abonelik ücretleri,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0,23.57534043812908,0.8294654888456376,0.0
56,Tüpgaz (ev tüpü),4.864213520219929,0.48029493847796534,1.5075376884421177,0.0,0.0,2.0255812178983756,1.8903298158796877,-0.0031102281362160866
57,"Katı yakıtlar (odun, kömür)",4.740110964978306,2.142740478169225,1.41993250707666,5.483017072020369,1.8005764570917515,1.6046193774717388,1.917037980448999,1.4398683705722393
58,Mutfak mobilyaları,0.5324787871899161,-0.48782905031218293,0.34045303716021547,-0.5110793187308005,2.637879248715791,0.8495155970243085,0.20433636157111135,2.015519880528238
59,Yatak odası mobilyaları,4.747867406042694,1.4310355723278212,-0.0876684166276509,0.7127584337834447,1.0780697793971505,2.1227614881177415,1.451054540927399,1.6335640358134063
60,Yemek odası ve oturma odası mobilyaları,3.5174913423294596,3.5956636789400642,0.07949280537737913,-0.0798494417094342,0.9281255573090785,-0.08550143856648207,1.8422439175747485,1.9499512723049062
61,Halı,16.198388384085717,10.96026028564756,1.8574673207987002,7.223317407620811,1.672327742815094,-1.6792874498605448,-1.4379927237074597,1.0604484797732905
62,Ev tekstili,34.35890103284807,11.034082867985816,-0.24218327270745243,7.870605882532078,1.0092110623309614,0.2666586912825508,1.2472618119507617,0.8118184139574325
63,"Buzdolabı, derin dondurucu",0.3947712545436133,1.2302509585555566,0.9328996842777215,1.7328634001164689,0.44554770688927103,1.5157918490223965,1.4459991659566684,1.525939871802029
64,Çamaşır ve bulaşık makineleri,1.3094495453768618,1.6857234310449165,1.0281324994520835,1.1957531754591688,0.31181771129882296,1.7999657918892797,0.6597034746307795,-0.07320605455394258
65,"Fırın, ocak ve fırınlı ocak",2.023082717607627,2.108626283009518,0.09412456864270613,1.47569103005738,0.8145887523671735,1.726339585369141,1.673126402147096,1.0235668819589927
66,Klima ve ısıtıcılar,2.2888640260352755,1.6469134649455208,0.4631562858194327,1.4484875508260497,0.4478248691704767,1.303460425211589,1.7909630427565215,0.8263651591141397
67,Diğer büyük ev aletleri (elektrikli süpürge vb.),1.954485656671956,2.731547038685922,-0.4418427659349855,0.294071448221378,0.4269923734586012,1.9456881892102151,2.68011917440083,2.042329325722836
68,Elektrikli küçük ev aletleri,6.34490380361834,2.706581899927607,0.8856558973172834,1.7294288505880218,0.6137543197532791,0.600332121258873,2.2361208184159542,2.4936163464196692
69,"Cam, porselen, seramik vb. mutfak eşyaları",5.196973702216323,4.249969330386971,1.2003046977266063,0.41391127141121586,0.002559795406131826,0.6397620531208847,1.488047839904194,1.0593741887817698
70,Çatal-bıçak takımı,4.5394187056226665,4.76807443087508,0.7139504195612378,0.1340107424281145,-0.3929723636676097,-0.3060583181903054,1.0902910301223478,1.3010424693184364
71,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",4.227948932508219,2.8817110548656766,0.4039096022502964,0.8211217680894833,0.10571216379628989,0.2424987376483667,1.5223745553740953,1.0268076319011277
72,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",4.6964574278163695,3.184738535368381,0.8962578178355107,3.4086505686089286,1.1541984648002934,1.1374355993281293,1.3446650242944669,0.32154806540782843
73,Evle ilgili küçük bakım-tamir mal ve hizmetleri,4.599228742292216,2.189027114453901,-0.21508009202230172,-0.543520787002505,1.6159339032683295,2.054266334174204,0.9090186555616775,0.6314744149696905
74,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",5.926145257901516,2.766766443316704,1.4385064869032238,1.882370295134117,-0.031284543492149375,0.6715032060149673,1.5490796255930306,0.3981082982998041
75,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",7.650544092604483,5.560314688270962,0.24991072238209622,0.0566271652492123,-1.0825064653004146,-0.9890658624930659,5.45989073669233,4.497270388355545
76,Ev içi hizmetler (gündelikçi ücreti),4.387469335475336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,12.269720304821297,28.14787093424176,16.376265221292073,-6.44315148815301,-6.526054048947061,27.099402074551506,3.074457917186857,4.048456397106581
78,İlaçlar,0.02851051170169594,-0.11772724456284855,0.0,0.0,-0.0068812959753250524,0.02664850438500732,-0.023992531458250088,-0.00875348050477509
79,"Ayakta tedavi hizmetleri (muayene ücreti, muayene katkı payı vb.)",-22.318873026743226,-1.2491911762628205,0.0,0.0,0.0,0.0,0.0,0.0
80,Benzinli ve elektrikli otomobiller (sıfır km),0.7099632156245317,0.608683247506181,4.50602486216396,4.123058352695463,1.215847553222127,2.5380510530538247,4.482357029097184,1.1924093403303582
81,Dizel otomobiller (sıfır km),0.3175900991233993,0.5284360710557046,4.3555989992854816,3.5066152580127463,0.6100504316595146,2.736756792595929,6.671947283616619,3.848244842223436
82,Motosikletler,5.836068231380365,1.5004771676269124,1.4280100712139143,1.6369011343748907,-0.036534784815256405,-0.9722421740778864,0.015237440859650064,0.2977697866980211
83,Bisikletler,9.112282163467134,4.882088747107671,-3.4157703766076186,5.9776714101108075,1.0412954169904953,1.1137568146501353,2.79237356114439,1.9338290896963262
84,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",2.6682617161071676,-1.4621984524609166,0.2780342419596904,-0.6109633209734566,3.2280134958853957,6.262173635546797,0.6227933352281667,0.5470929548814008
85,Kişisel ulaştırma araçlarının bakım ve onarımı,16.007164219828283,14.545601798907981,-17.5348888055893,-3.7993739986695862,17.70681746082483,-13.807275484802517,8.630325386451076,-1.6682885155687055
86,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),4.252574461553582,4.238366620295686,6.134371541797812,0.9103073290503083,8.425698362504308,0.7726497909610774,4.433106559181432,-4.627862589870412
87,Demiryolu ile şehir içi yolcu taşımacılığı,13.594988163724619,7.51300416491667,0.0,0.0,0.0,1.2629688075656675,0.4157389492716712,5.780025067230321
