,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
13,Ayran,12.361267118025454,0.30971941509276846,0.0013322366813950381,-0.530537612085169,-0.4140149155915318,0.43277788548901075,5.067008655832472,1.8988986409937736,2.532741450718401,2.587232830505215,-0.16200860422418417,1.8363551306994852
14,Ayran (Servis edilen),-10.948113957767747,-35.32664883841142,2.1991162258356844,-2.343742100260604,-2.073793624129683,2.598006341320014,2.740728100012646,16.877970639101502,1.624116538614273,1.7688672233203473,1.5910007916310365,3.149018904983325
15,Ayva,30.703772555039087,-11.437681891707374,2.685462099978486,14.99722410489952,-2.4887506809315396,-9.548242165625853,1.4554122311050577,1.1891364971517993,-3.6146617499932643,98.13162600072896,0.7627024100687052,5.746706190529172
16,Ayçiçek Yağı,6.431003503241883,1.5429284071953875,2.349752702198127,3.3861654208706238,1.4864360806150945,4.049275567151089,4.171418980894526,7.572454236888881,2.4711544259569562,0.8631268639189393,0.03980137332948441,0.8878432894116939
17,Ağız ve Diş Bakımı Ürünleri,4.933804787807561,2.5955961620592216,1.8066588029920227,2.7927422223851917,0.6635684246092399,0.6695883675707837,1.362639361637652,0.8231705153562752,1.4819738208976307,-0.44539119306479247,1.727927004670149,2.02551711118778
18,Badana ve Boya Malzemeleri,8.130545671034305,6.542110672754009,0.661700823862077,2.233159176880628,0.8507222681930715,1.682543087366506,1.3528137566468645,0.4081660111359797,1.4350660254648817,-0.46386978891466146,1.4291015481538993,2.1717020026663425
19,Badem İçi,2.9938811291890577,0.8593973552709411,2.412714710181807,5.961160377119024,1.919134747186968,-1.3316654624162205,2.734184131096118,3.4946541368818362,4.161263250538494,2.3224363001340675,-0.42471325054250775,1.7008831883564057
20,Baharat,1.1784995356663108,1.4788622088240944,3.823437637893168,1.4035844471005143,0.03795976711757909,2.6684372613397622,2.699136660858592,3.1637821019644408,6.9580742435704,1.30757003399804,0.07343549746374745,3.915187758948646
21,Baklava,0.04077918687337423,-2.4711786863539698,-1.8281206769408143,-0.646289671475142,-0.03689880733785955,13.456328629079174,-0.06453037711505738,10.819446132863565,1.7951807229463101,-2.2979001199260662,-1.0834208828263914,-1.5446447807840602
22,Bal,7.164289428256154,1.3985008347197736,2.2891969625625785,-0.32707961655550344,2.073618451840442,2.8436743266129882,3.8210253659043847,0.9444852587950248,7.546761232925592,0.013421084394971139,0.27544240160313205,12.0618762128492
23,Balık,5.675654808719788,-6.917825578269488,6.618120534109173,4.3756576119363455,2.7311905079055565,2.287004112810953,1.285981231525568,19.140802970690586,5.3016284168802,-4.788934605985928,8.463160890392052,9.032552002489302
24,Banka ile Para Havale Ücreti,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032905042599962187
25,Battaniye,11.222140375592083,21.27849047911492,1.4295976841454339,2.98643157091949,1.656490489818907,0.48877514807186273,1.8048476139483016,-0.446566479936783,1.395683732266928,1.2356553378764623,6.973798596098346,1.0960661489870738
26,Bebek Arabası,0.9824285912288566,1.2563664595177215,0.8593785013901734,1.0333739013827614,0.8816660091599315,1.331341700270694,1.2992702777274934,-0.48278468510611905,3.566347919984314,-3.122781597177904,4.384392225166578,2.7291068361760207
27,Bebek Bezi,1.5157807676962953,-1.6863644376518772,1.1253357507862605,1.8261905500352338,1.1701955764319871,1.1687580516708707,0.8657754941860052,-0.0068053014522173605,0.9260158714520239,-1.31774602104473,2.0262608546054217,2.123225797474204
28,Bebek Pijaması,1.7569275414622831,7.254367061290101,-0.8930022481552613,-2.433744263798998,-0.7819543634755566,-2.529558323342751,-4.981939614284004,2.489712038763403,0.35625693168155337,-5.301335120648476,0.13526505739314132,1.9132717433806734
29,Bebek Sütü (Toz Karışım),2.9077017465696464,3.309508569505004,6.840396885807287,5.777872487602109,4.005651581581082,1.2347595217669483,3.1606251714077382,2.966309453224669,4.2087455548827535,2.237146920497346,-0.5626108927519802,2.5818737987936546
30,Bebek Tulumu,3.116989123826075,3.826385343022931,-0.7671874998371186,-1.01090985534541,-0.3671882198607146,0.8725276432008044,0.5325525854269486,3.3362726032086565,3.1922374414754318,0.796970608571268,1.5857001706291118,0.1799891386907615
31,Bebek İç Çamaşırı,3.0830153129874693,7.489753583416636,-0.033178138845191274,-1.3233323503475503,-2.2484652844974695,-5.6927849722047,-5.239514176993576,1.2514504852128683,2.7614787259046647,-1.4412474457935254,-1.7345424848787538,8.57461830640739
32,Belediye Otobüs Ücreti,14.832700492073325,10.049462801232401,0.0,0.0,0.0,1.0532038200456784,3.850445875350861,5.036904013670629,2.0118481419311385,-0.14382880249450558,0.518315579978812,6.21036385964262
33,Benzin,3.0247401687258257,-3.326628121971986,2.233545541553683,1.5535228065842288,5.088108323810503,5.509609499580326,1.0835206256923025,2.8723775604673207,-0.9473957050775805,3.1807785020411483,-1.4144084937623091,-1.8699429539696
34,Beyaz Lahana,7.642406326719375,-5.618386803835673,-2.238221491467185,-22.140367980976304,-9.49077880197714,5.645176095977411,2.402075156993355,9.591785089955728,42.50128621186877,0.5138816807743973,-5.335327509617671,-0.389177021082443
35,Beyaz Peynir,6.692023402980185,2.072571585947891,2.5609633807266885,0.4951042671580641,-0.9979842631969271,-0.336213871174873,1.6480299899894968,2.179711527924044,4.415299508346293,3.0850677443330587,0.8646492602573552,3.0513024080943696
36,Bilgisayar,0.07412355995517483,-0.09536637314248031,-0.4725858003303829,-2.3817371409436072,-0.1648464140954875,1.85393638772835,1.641602820288579,1.18179369067839,2.106901100781289,4.046341280798793,7.237367416372176,4.677072058125919
37,Bilgisayar Ekipmanları,1.697303061077493,1.3909993862443848,1.120655602806453,0.4539218770301945,0.10490233569508955,1.3495820974720907,1.4646403830314902,0.6350944989851559,1.235550577186162,-0.574605734556255,1.7262947772445747,1.6476200943105535
38,Bisiklet,9.112282163467134,4.882088747107671,-3.4157703766076186,5.9776714101108075,1.0412954169904953,1.1137568146501353,2.79237356114439,1.8669240003068799,0.7189642403994556,1.953605345990872,2.8965715517966117,2.7421388061131036
39,Bisküvi,9.382643872427465,1.1634715800521223,0.17310799882330752,2.2398494672805525,2.546787100262282,0.2600016395586602,2.838145187369001,0.6682879789799756,2.2613930701927965,2.2715385793192766,0.9173028537482919,1.965325197004797
40,Bitki ve Meyve Çayı (Poşet),2.8383129076052116,4.563748022533476,0.6081198009417532,-0.7142201033366713,3.6711747399225114,0.030432522528500705,-0.08387475817576151,-2.4252817834233276,6.398707360080946,2.3757462770850335,6.959863004338374,1.798042036274039
41,Bot (Erkek için),4.061645633140465,8.22343437884756,0.8741007969364167,-0.3104015435685836,-0.23274546860629908,-0.5954749287760852,-4.355280369975356,2.3044468842134735,40.525603150500665,-0.565933350593173,-1.011451218403614,2.2737918938939727
42,Bot (Kadın için),1.8378298224047906,6.2356018300241844,0.3442771271475964,0.5298414605529711,-0.41417857215647613,-0.3947352986120922,-5.645233884983025,2.3092731201588945,40.23312293651078,-1.4638132584091634,-2.250596112421721,1.6943872053235887
43,Bot (Çocuk için),1.1443278382244015,6.134228190513058,1.5331987736699304,0.5298414605529045,-0.41417857215655385,-0.3947352986120811,-5.645233884982758,2.309273120159072,44.772024855000225,-0.11668954426978795,0.421191356483841,1.3415161986429114
44,Bulaşık Bezleri,7.650544092604483,5.560314688270962,0.24991072238209622,0.0566271652492123,-1.0825064653004146,-0.9890658624930659,5.45989073669233,2.4611996322167373,3.0407939986879517,4.155526487139194,1.716981816976837,1.760315891820674
45,Bulaşık Makinesi,0.588117996197357,1.8125665761929977,0.4189856480430798,1.7180252532849494,0.567475974743048,1.9673562769706,0.304293340924211,0.1590561046503014,1.2298229126999072,-1.3497945408742162,0.1427522949479787,2.558358758326107
46,Bulaşık İçin Temizlik ve Bakım Ürünleri,10.887689130752932,4.126644201709939,1.4926810684878111,2.4473766342418157,-0.22144655754338105,0.6167154940219577,0.2387424609903377,0.19153582898809862,1.7647902757431444,0.7113394996607569,1.124718629467658,2.308179179042047
47,Bulgur,4.48195472087185,2.0838395760307327,3.7980902656845617,2.540320065100876,1.842347812176559,0.8477870898832007,2.618962151900428,6.502825981120686,3.894998406335115,0.6395842776759642,-0.2883814997979961,2.690328547666132
48,Burgerler,0.9211948278343929,2.510402806937795,2.0613169800339115,-0.07192950228077644,1.2487815897894272,2.8256761203816927,3.2927232235421044,4.692262409740144,1.5673030825552603,1.1890420596345042,1.4226031933051608,4.287595240117669
49,Buğday Unu,0.4632573871596213,-2.933202540603941,6.107119365935976,0.2969762663188824,1.12749786926436,-3.074835573389545,9.586248512257157,-0.2265535877444047,1.1365610723961694,1.6106657895786913,1.1921258046101002,-1.3042833009816623
