,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,TÜFE
2025-01-10,102.39301650006746,101.75542876029546,102.00409147699762,102.36638599970829,102.61055721411402,101.55131766201983,101.94567443197832,106.19788170561974,102.3467620439952,106.68204709635799,104.33825634257515,102.22729543082986,100.90701439805841,100.67498649241271,100.96161899365246,100.24926472754487,100.13971035339941,100.01410973486692,100.1663173568223,100.21805711403641,101.00498446876492,104.33572655074275,101.3183830266764,101.26539868968193,106.07020210216078,100.0,118.04380956810043,102.53837165187514
2025-01-11,102.49292461304329,101.8518142931285,102.10384592713888,102.45238319284802,102.66743517710046,101.61400461163139,101.97347061642566,106.21873051134578,102.3334441481723,106.12382292508562,104.18909335728796,102.44655790021824,100.99190549430129,100.67498649241271,101.06648804886966,100.31194484399971,100.21142051342159,100.01228624703462,100.31652794014995,100.20306144873464,101.00537421807486,104.47055379240304,101.48015271537012,101.35686109996271,106.69466067304288,99.99999999999996,118.15476214098217,102.59270993954893
2025-01-12,102.54833591627535,101.90280136982969,102.15504853073904,102.50060071547752,102.68903399187286,101.63778670322482,101.97132154591225,106.24957933147276,102.292642452167,105.8085261920217,104.0223443421272,102.41360002042926,101.04215721300845,100.67032227971447,101.12966348129015,100.3297804865775,100.23188351626338,100.01027166165105,100.33568059819268,100.25033860342795,101.00508600175316,104.56020000089381,101.64108203609037,101.35651071604106,106.69466067304288,100.0,118.38280453691745,102.61332472687698
2025-01-13,102.62525672325306,101.98004028008081,102.19987955224715,102.57126231560169,102.77128495581891,101.72135027639952,102.04501005279108,106.27899265122284,102.47056958599345,105.84371723708506,104.18659896823011,102.6940971798149,101.22996886461789,100.67032227971447,101.36167403757634,100.33508318022405,100.23774457836016,100.0088970331644,100.3415930656655,100.26383429880963,101.00653700016608,104.65376769058402,101.80158445022956,101.35703574199701,107.16715155520613,100.0,118.48982574376345,102.69194297411322
2025-01-14,102.74558837645542,102.11713956124419,102.34999211298269,102.69506982144524,102.8436551149711,101.8010940941352,102.1134018536214,106.31944345585016,102.40202175864704,104.94155393344161,103.8950103402442,102.95242934656477,101.32266803049542,100.67032227971447,101.47618868487436,100.52121969228114,100.45084191105711,100.03380909051639,100.7060174860156,100.35947467208159,101.0066944077285,104.72511014280573,101.95643253591795,101.35703574199701,107.16715155520613,100.0,118.62338653342125,102.76106649240816
2025-01-15,102.9302714451259,102.33383935255924,102.55323590435265,102.88480965236245,102.9691610894356,101.93939303718716,102.13841606109052,106.34010930608208,102.41639356079872,104.34416723394659,103.56601237950453,102.86515865424732,101.58527845836714,100.67032227971447,101.80060088685947,100.55609004477219,100.4907126392762,100.05421775837195,100.76053623515128,100.38930955204619,101.0070715445846,105.13267179565057,102.10689430676818,101.42594935706316,111.44052454740395,100.0,119.25766998654724,102.8809467513632
2025-01-16,103.07378528638314,102.45461898571037,102.63606543988088,103.05004784543605,103.05213327412753,101.99907184333051,102.22904147464196,106.78416043473464,102.35221382923768,103.30759818507191,103.06688928597585,102.85009216947519,101.83554034080173,101.58559206008324,101.89436225168387,100.65504592333099,100.60368224087748,100.2451730577457,100.80783794517029,100.55718364733666,101.00935901319782,105.17780751724162,102.24742056261049,101.4566539105795,111.44052454740395,100.0,119.20488967478656,102.96029140088984
2025-01-17,103.1905037781336,102.5803045043085,102.69935841723225,103.1564782336034,103.10192530996652,102.0019973294933,102.2447900563448,106.76983613697179,102.40145005625862,102.56695221782226,102.71592141981974,102.85009216947519,102.17410348252031,102.98542747549777,101.98316947219509,100.6539613131866,100.6013052287592,100.1094237900046,100.8188416353121,100.6693366730752,101.01718955311364,105.323228793792,102.38794681845268,101.72232429477235,111.44052454740395,100.0,119.25029855289162,103.00819687370364
2025-01-18,103.32978442772628,102.71658487921866,102.81522301071689,103.29200825406501,103.20354997013668,102.07641472900919,102.3088826218976,106.90066046010755,102.46295306427724,102.27513665058805,102.57763958008508,102.85009216947519,102.38004062949257,102.98542747549777,102.23757111138832,100.698482643364,100.65103365384005,100.03680984013072,100.86409157432419,100.85941997979951,101.0257916929926,105.52180469986264,102.528473074295,101.64625751680134,113.68893869118676,100.0,119.61176859131895,103.10563929862624
2025-01-19,103.36121473905725,102.76041681828593,102.86454713099678,103.32705290965049,103.23425514359356,102.10264169643,102.33170245595376,106.88059743097226,102.47751712245622,102.27513665058805,102.57763958008508,102.85009216947519,102.4051337504429,102.98542747549777,102.2685695553121,100.7417526941579,100.70005794105137,100.06832836999827,100.88535133905354,100.98567499903628,101.02936830306145,105.5715037978175,102.66899933013724,101.54582569607363,113.68893869118676,100.00000000000009,119.84988349252734,103.1351247885736
2025-01-20,103.55450445640437,102.95387214241926,103.0632561039068,103.53301568658765,103.40959469268645,102.28197726939105,102.44655493483674,107.16499818788334,102.56204736943234,102.27513665058805,102.53629624054979,102.77151249662849,102.58066410723329,102.98542747549777,102.48540858193832,100.82572446386588,100.79373599971824,100.17624109768256,100.93767216183144,101.1512570576792,101.04638488054256,105.90156668778718,102.80952558597944,102.21399050685748,113.68893869118676,100.00000000000009,120.13689244987827,103.30334623432654
2025-01-21,103.63158734760111,103.06494177958574,103.18891394794963,103.62898990829498,103.46129635510555,102.31359772824105,102.45653224873568,107.16630454123647,102.48787282693776,101.83804647211883,102.27473549698405,102.66804426850763,102.6419601217299,102.98542747549777,102.56112977548311,100.90530354706692,100.87920911603068,100.37620455711478,100.90028350186442,101.37307410340709,101.0853061879825,106.0774804153612,102.9500518418216,102.24590547611892,113.68893869118676,100.00000000000009,120.82851529201011,103.35447329985338
2025-01-22,103.760397843368,103.20683993331903,103.3478875636215,103.75175254947038,103.59895481743897,102.46661644206546,102.51548201908882,107.16906265596388,102.63840347106824,102.0665352362762,102.51779335004792,102.92422393167837,102.72559836685025,102.98700779333527,102.66407923199462,100.90977592931839,100.88055657582886,100.29211277662172,100.89944493016313,101.4704562286957,101.11133467519204,106.43358468684303,103.09057809766394,103.02183031830437,113.68893869118676,100.00000000000009,121.04661619903516,103.48711294722472
2025-01-23,103.80858111115406,103.25964828961216,103.40103285846968,103.79730830608686,103.65675312820821,102.53107597724139,102.5567591477774,107.16913518932778,102.72898639655372,102.37131214904261,102.66221714691876,102.92422393167837,102.77725711972441,102.98700779333527,102.72789516614289,100.92527252749022,100.89612298838396,100.25979762165466,100.90481165281187,101.55875086898003,101.1263496850379,106.53372693895376,103.23110435350613,103.02466946039662,114.02182106526101,100.00000000000009,121.2639158751376,103.54298774712193
2025-01-24,104.03080548181798,103.50259509302072,103.45361302113221,104.00786364955253,103.5550254227799,102.39485536631938,102.41368530554024,107.1765539928311,102.27712069526366,97.99844947313147,100.3508467007583,102.46955912779704,103.66971742576698,103.61306567159599,103.68304964163809,100.97851602487125,100.95144396563654,100.16088370618448,100.94176258877538,101.81782349306638,101.16526246707168,106.58287938002658,103.37163060934816,102.9880751908024,114.02182106526101,100.00000000000009,121.36998667664089,103.44758315143145
2025-01-25,104.15528849597351,103.64117843190851,103.52019968582516,104.12732110877347,103.53871417013845,102.35359394303678,102.37100212821008,107.17606733634655,102.09018749663056,96.11858927077162,99.37386739505533,102.30576942860145,104.05394680773799,103.76677687857996,104.12152832473188,101.03664952332225,101.01716959967467,100.15706603193549,100.94292681083107,102.09399371286118,101.17102446702243,106.65054286814835,103.51215686519022,102.7957690092956,115.19215500639274,100.00000000000009,121.54351165031962,103.43226429863832
2025-01-26,104.24192523460228,103.75412842665723,103.65835903781483,104.22491533092203,103.71509475754821,102.5485856370775,102.53500439449265,107.17736091258583,102.41374743591729,97.6165801013509,100.1077221094938,102.35139654856606,104.08088478979086,103.76677687857996,104.15480579259795,101.12674122331488,101.1184771587857,100.24525553714352,101.00573334584476,102.29045770407573,101.1837477714888,106.83478986376335,103.65268312103268,103.1875906178282,115.19215500639274,100.00000000000009,121.55587965028305,103.6012869553545
2025-01-27,104.33476444029564,103.83668844536584,103.7473123642051,104.29684775156694,103.79547030551666,102.6319154841702,102.62419431799928,107.18264448496738,102.5077979149198,97.59013304391866,100.24783927669381,102.6415316160101,104.14163142959289,103.91831111262093,104.19418681323201,101.23926586279632,101.24669424320662,100.43566124826397,101.03657171625399,102.55729609854134,101.18802396793728,106.87463909110845,103.79320937687476,103.1889715330993,115.19215500639274,100.00000000000009,121.53212935373143,103.67824112332548
2025-01-28,104.4563101212679,104.05595500735474,104.00434921608316,104.48604784779926,103.98735532351265,102.84400145112791,102.8296830864233,107.18328877564262,102.64875121307104,97.54568040787348,100.45872218107996,103.08238528223151,104.23202922977971,103.91831111262093,104.30585849988545,101.56236314949524,101.61475230621018,101.17436541211005,101.13101095987759,103.10521853295589,101.20097621023189,106.9928304319944,103.93373563271686,103.32911907899037,115.19215500639274,100.00000000000009,121.6755313142612,103.86208143387704
2025-01-29,104.47921531451776,104.02767742280507,103.9473704545291,104.46194152868233,104.09513698206972,102.96290089213564,103.01370684194046,107.18534171050025,103.1259742366303,99.01300205140652,101.49971271373192,103.73939601247216,104.30167742641098,103.91831111262093,104.39189744744957,101.57264698471246,101.62611254054598,101.01474206282221,101.06747196147965,103.457355992818,101.20383491003388,106.85038545449105,104.07426188855922,103.46239374286888,113.2019232034016,100.00000000000009,120.94420229491095,103.96514582079917
2025-01-30,104.54742457490008,104.07388551429943,103.96567264432267,104.50179974809579,104.1091432259606,102.98111559145846,103.03039205502029,107.18537798159836,103.13717750181516,98.59856867962456,101.33079634863277,103.79160723883554,104.44309789275643,103.91598015943072,104.56714784519039,101.59907886818965,101.64859786250298,101.01015799295304,101.07916892134043,103.53153864051538,101.25749066726335,106.8634561293615,104.21478814440148,103.16542998228508,113.2019232034016,100.00000000000009,121.37004280895715,103.98093468240153
