,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
0,"Alkollü içecekler,tütün ve tütün ürünleri",0.01267413156862407,9.896720188945718,0.0,0.0,0.00015649175282295147,5.200867551566324,6.582792174172369,0.3552117474002303,1.8055448975974997,3.4209716117042266,-0.0009498132087171207,0.7289156153365672
1,Bilgi ve iletişim,-0.8361342067845112,-1.2014710268072437,-1.4408862444029835,0.4152497956288137,-0.06297101169550068,0.3376605103689645,1.5691002118460196,1.7211620340876754,0.20777087447263476,1.042550620421867,3.030296570985902,3.498591320767963
2,Eğitim hizmetleri,7.486045556938659,7.618772514985728,0.012453229697695356,0.012208411620151516,0.13263975057506983,4.432935916221981,-2.6179991508001876e-08,28.26835485631145,0.2213622915953506,0.0,0.0,6.007719145839729
3,"Eğlence,spor ve kültür",6.110116358529849,2.533037367435531,0.9187269871113957,0.7780116381163271,0.14875595365375638,1.4035253264369496,1.1321291321592097,1.5202305094383028,1.055810251663547,-0.4975200369983446,1.769709840091216,2.9129126073907052
4,Gıda ve alkolsüz içecekler,3.424605058506547,5.117009754623392,1.7894640449029442,-0.3910242126241581,-0.21158412847868124,0.7003576171809689,2.1320928314660925,2.8669950563534385,4.213054655690329,1.497164238065607,1.5774929392633252,6.5614508525600135
5,Giyim ve ayakkabı,4.505287118599854,6.530753742352191,1.0903102206593518,-0.0280300001303746,0.4490710655536523,0.6009910459221723,-3.7150385470823166,1.3953283081803214,12.27968092932823,-1.004652987316057,0.5694524200955176,1.7277954766481973
6,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler",5.412631262161116,5.016688300991157,2.8842729165936776,1.3932588889272068,1.5785085730965598,0.9761313732065569,1.4946288726729318,3.1101316517806454,3.578357154091294,0.04838512220335378,1.7493656625809262,5.331351653243555
7,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",5.072060956600999,2.381846393649445,5.0891614739092095,3.4972571459991997,3.0474077102262243,5.3753907308291105,2.143950060385391,2.676498857605192,2.1759543238502044,1.9190190077100322,1.5134910847241168,3.3623305692765393
8,Lokantalar ve konaklama hizmetleri,3.561219921340908,1.0735711278160753,4.201151854010177,4.671679792287886,3.682922295320701,2.3852012235469067,4.003915400198199,1.475463764357432,0.8478245393337414,0.5300216404714009,0.9869408865569307,3.9937690706981943
9,"Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",5.9400166513232655,3.482335226735822,0.8780426015429166,1.5870862594104862,0.4547727336364549,1.3578178553655729,1.3370990723198917,0.8462731363187315,1.3087518629953498,-0.03111058468722172,1.3475813726409491,3.8118258144486328
10,Sağlık,-14.197044536458836,-0.7698007016458175,0.0,0.0,-0.0029346984074418714,0.011364463484775378,-0.010233366676004607,0.10268540477689214,0.05732959228279544,-0.006472019250458594,3.0610613420470445,19.698647693751525
11,Sigorta ve finansal hizmetler,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.567266926386294
12,Ulaştırma,2.037340796662912,0.14997224847801416,3.2620741529631347,2.3351980495140756,2.835403224373545,3.337341762190227,3.006508743264047,1.278678604389194,1.9029830292982108,1.8470486360851357,-1.1747845935407342,1.725323166842574
13,Web TÜFE,3.2878773513602244,3.449702824489531,2.3370952866494266,1.3889164238195084,1.30392569076907,2.3106955569758503,1.940537125827957,2.612077671271562,3.0894711288311116,1.1360509119260787,1.0285945590923218,4.484464656328447
