,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
0,Pirinç,4.954173213806179,2.4191493139314346,1.9578542044950575,2.587606700271783,2.131883053833028
1,Un ve diğer tahıllar,0.9047932465918285,1.9732836998210157,2.961558153222099,1.8607650431241796,0.0773572728974159
2,Ekmek,5.508385934902571,1.7224922459883274,1.084709501856329,0.2057048913825188,1.0374739628646434
3,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",8.881732920310824,2.00030708812029,0.5399301434007464,1.3804908938762406,-0.09489271547155065
4,Makarna çeşitleri,1.7951229887091413,2.652446213214854,0.82294409570145,4.27529246712246,3.867161302047384
5,Kahvaltılık tahıl ürünleri,2.1854502574359946,3.5276502258243747,2.675768968322334,4.989638279105524,1.3257714539389287
6,Dana eti,3.2278250766529126,4.401773449063406,4.335946096142496,2.011495900177196,3.549420220887267
7,Kuzu eti,1.8329002648710402,6.225675262297359,3.0379415755545702,-1.3521825009317423,-0.30321975065856765
8,Tavuk eti,1.4799151604584893,3.408359464764521,3.732105775476091,-0.050471843123101046,-0.9020815164312523
9,Diğer etler ve yenilebilir sakatatlar,0.8355543242815289,3.3513643942229887,2.887560841776904,1.653605228693844,-0.7883301667402587
10,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",4.911300431948384,4.463039157480031,2.595643043725948,8.122089107214347,0.7746721463473216
11,Taze balık,8.364281470079815,2.951888293950944,5.969047890439572,10.52105463546258,19.162224174161715
12,Konserve edilmiş veya işlenmiş balık,1.3045567160866467,3.997137668566908,1.3850430394727775,-0.037454479121978856,-2.362803782332612
13,Süt,9.002799792544147,2.941954444378503,1.2405308265656556,0.6974342092726404,-0.5365036015815283
14,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",9.194930367532518,2.2641809780705513,0.41633277932850987,-0.1902077912423028,-1.501477079349589
15,Peynir,6.285067378430309,2.762525826123019,2.177255657712318,0.994857412787975,-0.8090601279588605
16,Yumurta,1.6709274949932906,3.298777859178492,7.185820801715237,-6.469564979177445,-2.007043945705167
17,Tereyağı,9.122281738838778,2.739335686310196,1.939788911967355,0.7388314268526264,-1.2112280176901358
18,Margarin,0.24009733530101496,1.0077018233089818,1.04060937598347,7.56702424588247,5.279541088122719
19,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",2.781191175593034,1.4068802053405882,1.2279125681842418,2.6976753533552333,1.5011360547700914
20,Taze meyveler,5.039932196534913,7.799876648467352,9.187098752140344,7.9081884607093755,0.5154017986331194
21,Kuru meyve ve sert kabuklu yemişler,2.9779012479680844,2.2500077632173765,1.556222954239428,4.028712323030059,5.56881876111377
22,Taze sebzeler (patates hariç),-3.327250809223159,14.94982612915219,-2.022387662790115,-7.920932592262419,2.612876621831073
23,Patates,1.783835260408173,14.696281354568486,16.752760144749956,15.740054797632164,6.4892582318693215
24,Kuru baklagiller,2.526162083645689,2.4680067639292425,1.6011156456246178,2.75497100500941,1.816894771707589
25,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",2.3255411508696477,2.2470695020468945,1.636732531711349,1.3196688562767012,0.2491241257725596
26,Şeker,0.7932139532129012,1.536899104253231,2.7967112156465967,1.9354652100383563,0.4288187054364956
27,"Reçel, marmelat, bal vb. ürünler",5.323767147268854,2.8705288233177306,1.5467588592834591,0.9015848127956749,3.1352992138520497
28,Çikolata ve şekerlemeler,4.225097335149597,3.450202861879581,2.1788466607213675,3.3868391114306062,1.3471387485789243
29,Dondurma,4.657043619406287,1.9261163561111738,0.4645463522830129,1.4737867262366144,0.11077582594396507
30,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",2.8751812756931283,2.185656031327854,2.360635856620541,1.2086485630646404,1.2234609905958704
31,Kahve,3.1923921351654894,4.144330901972082,2.609107505025987,4.2348448313518805,3.038763763672825
32,Çay ve bitki çayları,0.29802632737947476,1.9001111906209012,0.11581064937662422,2.1059583202260423,-0.8864840260195406
33,Toz kakao,7.834622818062842,3.945248545048341,1.842110786009865,2.0762354186635745,-0.4314343073458571
34,Su ve maden suyu,3.2785960700127514,2.8338701778351405,1.1095319454198505,3.7591493858841973,-0.9161677578234495
35,"Alkolsüz içecekler (meşrubat, ayran vb.)",5.824909913971754,2.133533543333388,1.019016171439957,2.9020458767784696,3.7993863585202403
36,Meyve ve sebze suları,3.7590649839581713,3.263096174206548,1.76514194175601,2.9189964231159937,2.9384656448080415
37,"Alkollü içecekler (rakı, viski, votka vb.)",0.0,0.0,0.0,0.0,0.0
38,Şarap,1.7470104633781958,3.8687707840139085,0.0,0.0,-0.06545432980591404
39,Bira,0.0,0.0,0.0,0.0,0.0
40,Sigaralar,0.0,10.850000000000005,0.0,0.0,0.0
41,Erkek giyim,4.706122724439998,6.188752065172709,1.1038902617503288,0.1415402755012396,1.2768697347450564
42,Kadın giyim,5.010511394724615,7.206932612662431,0.5729678198691968,-0.21913287989652197,0.7978341454436322
43,Çocuk giyim,4.7623034338531545,7.405497741438305,0.3679912302489763,-0.28458327987042065,-0.45057459134545397
44,Bebek giyim,2.715466346659534,6.350542758803712,-0.48755272449950704,-1.5487546784011874,-0.8934449489254814
45,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",4.104128372766658,3.827332730941335,1.3817464729876106,0.5138838426927084,0.38547741212466846
46,Giyim eşyalarının temizlenmesi ve tadilatı,2.7058428124419276,-4.670403173408733,-6.0991125807759445,-0.755875700355535,-4.136392396006605
47,Erkek ayakkabısı,5.756736259318429,8.310107855768734,2.3818517970009223,0.04148096910840948,-0.5137944639968195
48,Kadın ayakkabısı,4.154768190856384,5.953724665530302,2.195970166230876,-0.07985294268429977,-1.0434038848301408
49,Çocuk ve bebek ayakkabısı,3.259981216951302,6.100950030822649,2.5174350838865767,-0.7399898752868284,-1.7585082469224411
50,Ayakkabı bakım ve tamiri,12.140511062219716,3.8481018063225125,-2.1601170463194763,0.8515115915666449,-0.4779849714743434
51,Gerçek kira,4.220782643345533,3.6610983570637856,4.304349252975359,1.7413321069215781,0.42470702774803915
52,Konutun bakım ve onarımı için malzemeler,8.269612079465238,7.7319251796952315,3.290506439210228,5.515020134435633,2.756311285758173
53,Su (şebeke suyu),6.73514080022819,1.5802729006886063,1.230956509607961,5.28775239666972,5.264863957468746
54,Elektrik,10.70000000000002,0.0,20.83333333333335,3.44827586206895,0.0
55,Doğalgaz ve ilgili abonelik ücretleri,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0
56,Tüpgaz (ev tüpü),4.864213520219929,0.48029493847796534,1.5075376884421177,0.0,0.0
57,"Katı yakıtlar (odun, kömür)",4.740110964978328,2.142740478169469,1.4199325070767044,5.483017072020169,2.591651355604352
58,Mutfak mobilyaları,0.5324787871899161,-0.4878290503126048,0.34045303716008224,-0.511079318730856,2.0350842790112678
59,Yatak odası mobilyaları,4.747867406042294,1.4310355723278878,-0.08766841662772862,0.7127584337836668,1.049497333254168
60,Yemek odası ve oturma odası mobilyaları,3.5174913423299703,3.595663678940353,0.07949280537742354,-0.07984944170970065,0.6332429538540962
61,Halı,16.19838838408567,10.960260285647783,1.8574673207988779,7.223317407620744,1.1908707588269563
62,Ev tekstili,34.358901032847555,11.034082867985484,-0.2421832727073081,7.870605882532344,1.8512637305196256
63,"Buzdolabı, derin dondurucu",0.3947712545426141,1.230250958556156,0.9328996842783432,1.7328634001161358,0.38462258434559526
64,Çamaşır ve bulaşık makineleri,1.3094495453767063,1.6857234310453162,1.0281324994520835,1.1957531754584805,-0.06641536938152282
65,"Fırın, ocak ve fırınlı ocak",2.0230827176073607,2.108626283009052,0.09412456864268393,1.47569103005738,0.48257616353681865
66,Klima ve ısıtıcılar,2.288864026037074,1.646913464944677,0.46315628581914403,1.4484875508262052,0.3654824143040303
67,Diğer büyük ev aletleri (elektrikli süpürge vb.),1.9544856566709345,2.7315470386862106,-0.4418427659345303,0.29407144822175546,0.1259800067147543
