,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
0,Ampul,4.672651696032815,2.6647068970880428,1.1073101672340435,3.8641835741832553,1.5077185930428838
1,Ankastre Fırın,1.5854525071341774,2.4076587975329744,1.6195464825784711,1.472759596092521,-0.622056095890211
2,Ankastre Mikrodalga Fırın,1.8563620432622718,2.168362912953614,-0.5262801440276133,1.6365977698367118,1.0113099291877647
3,Ankastre Ocak (Set Üstü) ,2.4880527163029464,1.8691900447340037,0.16705532662297795,1.2527420597184147,0.31500840298059885
4,Antep Fıstığı,-0.23953955732372023,0.3546435992418884,4.265413915558014,14.28232051842211,15.518552862390633
5,Araba Kiralama Ücreti,-16.345762324775958,23.166692298187684,24.706027477320557,3.126974009786143,39.857696838667934
6,Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),16.00716421982824,14.545601798907914,-17.534888805589265,-3.799373998669564,30.968680871964693
7,Armut,2.9507414685043587,1.3761483298299293,0.6171013912866785,11.275017382360053,2.9521628253724064
8,Ay Çekirdeği,1.5878689045995875,1.3737800601547612,0.7248728431111573,2.301954326369371,1.382616881162968
9,Ayakkabı (Erkek için),3.6538363771122073,7.007567296250894,-0.3914446073756017,-0.08911578993773261,-0.1191742761901482
10,Ayakkabı (Kadın için),1.886881299646359,4.749573891253744,1.7484708266694682,-1.3849347435967996,-1.412332203563882
11,Ayakkabı (Çocuk için),0.6428307387776888,3.995051690699114,0.5666247680617076,-0.3830874660592287,-2.0026885333062516
12,Ayakkabı Tamiri (Erkek),12.140511062219716,3.8481018063225125,-2.1601170463194763,0.8515115915666449,-0.741513303408603
13,Ayran,13.527807623161593,1.1874237275165012,0.45644892637470846,-0.1719523597813799,-1.0091280299887817
14,Ayran (Servis edilen),-10.948113957767758,-35.326648838411415,2.1991162258356844,-2.343742100260615,-4.0431462863143475
15,Ayva,11.4337359743661,0.01415289418964516,57.74996116730185,29.065240373316882,31.459475532818892
16,Ayçiçek Yağı,4.233661408075506,1.3683048567740164,1.6190139674470805,3.061197489597567,1.9736032695191863
17,Ağız ve Diş Bakımı Ürünleri,4.933804787807561,2.595596162058933,1.8066588029924224,2.7927422223853693,0.6185411196486967
18,Badana ve Boya Malzemeleri,8.130545671033307,6.542110672754031,0.6617008238618993,2.233159176880939,0.8794504643239609
19,Badem İçi,3.271441562941102,1.9862404395669886,1.6436704747908149,5.4063711409295,1.8360095019223754
20,Baharat,2.416239555464239,1.720386064616064,2.4887012365365946,1.4485858084035463,1.1438555559373675
21,Baklava,15.196348549521366,1.1252736244796946,0.06550527200090972,-0.22311799564296297,-4.856592091431288
