,TÜFE
2024-12-31,100.0
2025-01-01,100.20706768344547
2025-01-02,100.2805655138606
2025-01-03,100.33840348743486
2025-01-04,100.34158663717464
2025-01-05,100.33363875669886
2025-01-06,101.20711649517176
2025-01-07,101.34535183006906
2025-01-08,101.38619738488174
2025-01-09,101.65995393236808
2025-01-10,101.73108128395408
2025-01-11,101.80324159216886
2025-01-12,101.8442585082371
2025-01-13,101.86293524656163
2025-01-14,101.93583295775952
2025-01-15,102.0596412198253
2025-01-16,102.15880163748298
2025-01-17,102.21351996225704
2025-01-18,102.32454114563004
2025-01-19,102.35564064033296
2025-01-20,102.53472493391835
2025-01-21,102.58069572257712
2025-01-22,102.69387630770728
2025-01-23,102.73943732173556
2025-01-24,102.86975725464262
2025-01-25,102.91409182495995
2025-01-26,103.04356458973236
2025-01-27,103.15334747131834
2025-01-28,103.34037238160992
2025-01-29,103.39313265755516
2025-01-30,103.4331922122958
2025-01-31,103.37068260084293
2025-02-01,103.84288750282217
2025-02-02,103.915443303202
2025-02-03,104.0039418162626
2025-02-04,104.25831714881872
2025-02-05,104.50940009201447
2025-02-06,104.762878210408
2025-02-07,104.84737921315627
2025-02-08,104.97484395757606
2025-02-09,105.00086622685126
2025-02-10,105.16130441410743
2025-02-11,105.45208417335694
2025-02-12,105.68290424523047
2025-02-13,105.86733556081376
2025-02-14,105.84832678822356
2025-02-15,105.97685196533432
2025-02-16,105.99171551324788
2025-02-17,106.02651451497417
2025-02-18,106.395526965323
2025-02-19,106.5090078148411
2025-02-20,106.7393641326297
2025-02-21,106.92130410640468
2025-02-22,107.01564880915662
2025-02-23,107.13953374222424
2025-02-24,107.2077798165106
2025-02-25,107.6378654799282
2025-02-26,107.73661582086936
2025-02-27,107.72471807290827
2025-02-28,107.79690393224156
2025-03-01,107.840133063552
2025-03-02,107.89071286046412
2025-03-03,107.89185307294969
2025-03-04,108.24449982350372
2025-03-05,108.55759841460802
2025-03-06,108.6999798317066
2025-03-07,108.73259874558454
2025-03-08,108.76605377714992
2025-03-09,108.79131282905524
2025-03-10,108.81570425334068
2025-03-11,109.0081747097897
2025-03-12,109.00520091672291
2025-03-13,108.98485573247132
2025-03-14,108.96610283667556
2025-03-15,108.92597581469263
2025-03-16,108.99053812870538
2025-03-17,109.11650049997708
2025-03-18,109.34637457348836
2025-03-19,109.5745166849302
2025-03-20,109.64212641649934
2025-03-21,109.63359181682203
2025-03-22,109.57084352716907
2025-03-23,109.53979159382692
2025-03-24,109.6085271918236
2025-03-25,109.82376664053383
2025-03-26,109.96324749360988
2025-03-27,109.9553099829473
2025-03-28,110.01909017279571
2025-03-29,110.13162031898588
2025-03-30,110.13162031898588
2025-03-31,110.13162031898588
2025-04-01,110.47674171916807
2025-04-02,110.55297534528322
2025-04-03,110.98136594476938
2025-04-04,110.9632641026238
2025-04-05,111.52946596070365
2025-04-06,111.56216389138308
2025-04-07,111.60935727981791
2025-04-08,111.687223701462
2025-04-09,111.77524062904511
2025-04-10,111.79639659524511
2025-04-11,111.8282041769254
2025-04-12,112.05783493815244
2025-04-13,112.1033353856772
2025-04-14,112.10641577815994
2025-04-15,112.4194514862882
2025-04-16,112.30437975533611
2025-04-17,112.26112911779278
2025-04-18,112.22126813457209
2025-04-19,112.04885637907284
2025-04-20,111.9548906281698
2025-04-21,112.08269195171265
2025-04-22,112.38641871378375
2025-04-23,112.44342805244428
2025-04-24,112.569462413199
2025-04-25,112.67033431712797
2025-04-26,112.7271309986017
2025-04-27,112.74219195370368
2025-04-28,112.76733695443744
2025-04-29,112.79791221164923
2025-04-30,113.02262071913871
2025-05-01,113.00119005580044
2025-05-02,112.98903158814726
2025-05-03,113.24044957681916
2025-05-04,113.49022371284757
2025-05-05,113.54345986151873
2025-05-06,113.73998201572222
2025-05-07,113.60830930223035
2025-05-08,113.64358654652769
2025-05-09,113.5208257974055
2025-05-10,113.37333842252433
2025-05-11,113.37563975158912
2025-05-12,113.53453188495556
2025-05-13,113.6944889789307
2025-05-14,113.90822538019265
2025-05-15,114.14166639901592
2025-05-16,114.17701291255234
2025-05-17,114.05651380943831
2025-05-18,114.01476510736302
2025-05-19,114.06628941029577
2025-05-20,114.35904958507096
2025-05-21,114.39877194182829
2025-05-22,114.69689610103276
2025-05-23,114.43045090685382
2025-05-24,114.370543804047
2025-05-25,114.33052600864612
2025-05-26,114.39654600931075
2025-05-27,114.57206993760516
2025-05-28,114.64373322462416
2025-05-29,114.79607666052658
2025-05-30,114.63403326671038
2025-05-31,114.7273974407852
2025-06-01,114.9463622919819
2025-06-02,115.235422409679
2025-06-03,115.01873210780327
2025-06-04,115.22924584215404
2025-06-05,115.27138008399125
2025-06-06,115.26710792771422
2025-06-07,115.26571991418264
2025-06-08,115.25201189264403
2025-06-09,115.097736335766
2025-06-10,115.31050713927888
2025-06-11,115.30427289909156
2025-06-12,115.52282538226066
